max_depth,n_trees,early_stopping,col_sample,l,a,p,r,f
5,500,20,0.5,0.117524409052,0.959234138759,0.982376857486,0.943497073047,0.962544015894
5,500,20,0.75,0.134147532546,0.958280344779,0.983116570544,0.941015525579,0.961602541338
5,1000,5,0.5,0.120494680632,0.963437897414,0.98461831673,0.94896920336,0.966430317654
5,1000,5,0.75,0.196462094303,0.959198813056,0.980434700486,0.945278696869,0.962467962027
5,1000,10,0.5,0.0869255314928,0.968772078564,0.984655260667,0.958704504963,0.971500441312
5,1000,10,0.75,0.0908451785821,0.965592765296,0.983980991986,0.953550521761,0.968521072648
5,1000,20,0.5,0.089029630512,0.968418821535,0.98387645285,0.958831763808,0.971191996771
5,1000,20,0.75,0.300941496465,0.839939239791,0.938666774713,0.732756426572,0.769305961667
5,2000,5,0.5,0.0743321304165,0.972022043239,0.985998936541,0.963285823365,0.974508065012
5,2000,5,0.75,0.0741516437522,0.971244877773,0.985220690204,0.962649529142,0.97380341965
5,2000,10,0.5,0.197386952972,0.853186378409,0.968135610424,0.749363705778,0.779120505803
5,2000,10,0.75,0.072614894219,0.972587254486,0.985760298294,0.96455841181,0.975043695939
5,2000,20,0.5,0.159776211725,0.965345485375,0.985548813007,0.951514380249,0.968119373694
5,2000,20,0.75,0.163675294131,0.963473223117,0.982393719195,0.951196233138,0.966432948921
6,500,5,0.5,0.181175742487,0.957891762046,0.984400257757,0.939043013489,0.961173255179
6,500,5,0.75,0.193995667412,0.958245019076,0.980915906272,0.943115296513,0.961625032796
6,500,10,0.5,0.190475011314,0.959022184541,0.984614634347,0.940888266735,0.962252959932
6,500,10,0.75,0.117967198042,0.96018793274,0.982235671178,0.945405955714,0.963458174907
6,500,20,0.5,0.212020513074,0.959022184541,0.984751637903,0.94076100789,0.962247875757
6,500,20,0.75,0.125843205278,0.960505864067,0.983060108667,0.945151438025,0.963731725279
6,1000,5,0.5,0.155481517117,0.964921576939,0.986264678601,0.950050903538,0.967766553987
6,1000,5,0.75,0.104634455152,0.965698742405,0.983727355562,0.953995927717,0.968627787179
6,1000,10,0.5,0.120678490184,0.964427017098,0.984330179882,0.951068974294,0.967378129871
6,1000,10,0.75,0.0867490618425,0.968418821535,0.983559567683,0.959149910919,0.971199562382
6,1000,20,0.5,0.0833958061033,0.968913381376,0.985224671842,0.958386357852,0.971615395942
6,1000,20,0.75,0.0828875323418,0.968489472941,0.983941019395,0.95889539323,0.971252519976
6,2000,5,0.5,0.229299855383,0.958633601809,0.986908371785,0.937897683889,0.961662328693
6,2000,5,0.75,0.232933584748,0.851879327399,0.934715700932,0.751717994401,0.782194942834
6,2000,10,0.5,0.104514592788,0.968418821535,0.986069952579,0.956604734029,0.971095695336
6,2000,10,0.75,0.129655628509,0.966122650841,0.982061186696,0.956413845762,0.969041769554
6,2000,20,0.5,0.0712558403621,0.972375300268,0.985565387476,0.964367523543,0.974849119278
6,2000,20,0.75,0.225331247427,0.853539635439,0.949805797479,0.752863324001,0.784909116986
7,500,5,0.5,0.233567247035,0.851490744666,0.97402605625,0.745227793332,0.781369328053
7,500,5,0.75,0.102388185477,0.964003108662,0.983172456243,0.951450750827,0.967049217358
7,500,10,0.5,0.111302133612,0.963190617493,0.983971914796,0.949160091626,0.966251993732
7,500,10,0.75,0.104405559991,0.964038434365,0.984060984866,0.950623568338,0.967051143258
7,500,20,0.5,0.114222510296,0.96587537092,0.986606102357,0.951450750827,0.968705780088
7,500,20,0.75,0.127431783056,0.964073760068,0.981982009455,0.952786968694,0.96715463938
7,1000,5,0.5,0.121202491986,0.96788893599,0.987105706962,0.954632221939,0.970568879594
7,1000,5,0.75,0.0781872646171,0.97025575809,0.983994044813,0.962076864342,0.972910503645
7,1000,10,0.5,0.118281297272,0.967500353257,0.98618317139,0.954823110206,0.970242338314
7,1000,10,0.75,0.0803590850904,0.97025575809,0.985062065175,0.960995164164,0.972876170392
7,1000,20,0.5,0.122548896272,0.966652536385,0.98547445031,0.953995927717,0.969465313872
7,1000,20,0.75,0.0818439093929,0.969019358485,0.984973524406,0.958831763808,0.971720345438
7,2000,5,0.5,0.0828423264643,0.970185106684,0.986891752686,0.959022652074,0.972740620892
7,2000,5,0.75,0.0752167113156,0.969266638406,0.985487916098,0.958768134385,0.971940435958
7,2000,10,0.5,0.0749194679931,0.972022043239,0.987334053099,0.961949605498,0.974474142437
7,2000,10,0.75,0.127849266024,0.965451462484,0.982431477072,0.954823110206,0.968413960745
7,2000,20,0.5,0.0724045685244,0.97286986011,0.987417014419,0.963413082209,0.975264910299
7,2000,20,0.75,0.0753009034057,0.971774763318,0.986690867728,0.962140493764,0.974256747098
8,500,5,0.5,0.171922110339,0.96184824078,0.985273373858,0.945405955714,0.964918319563
8,500,5,0.75,0.0981489446535,0.964003108662,0.982162717279,0.952468821583,0.967086005126
8,500,10,0.5,0.121315869371,0.963932457256,0.98643294909,0.948078391448,0.966873393876
8,500,10,0.75,0.0969065101373,0.963755828741,0.982716741294,0.951450750827,0.966829227319
8,500,20,0.5,0.153135036258,0.964674297019,0.98658693544,0.949287350471,0.967572130843
8,500,20,0.75,0.0960191023105,0.966299279356,0.9837475789,0.955077627895,0.969197111718
8,1000,5,0.5,0.112945084914,0.96718242193,0.987725518482,0.952723339272,0.969906234891
8,1000,5,0.75,0.0870322133845,0.968560124346,0.985521761741,0.957431916518,0.971267485302
8,1000,10,0.5,0.0785528012375,0.969725872545,0.987472423738,0.957622804785,0.972316781712
8,1000,10,0.75,0.19234493569,0.963543874523,0.98326086738,0.950496309494,0.966584930668
8,1000,20,0.5,0.199120162705,0.964603645613,0.986886347988,0.948841944515,0.967461317262
8,1000,20,0.75,0.0792568001314,0.969231312703,0.986435906537,0.957750063629,0.971880631716
8,2000,5,0.5,0.206619411024,0.964285714286,0.986561716332,0.948587426826,0.967145821208
8,2000,5,0.75,0.0766842045185,0.969725872545,0.986190322364,0.95889539323,0.972348342781
8,2000,10,0.5,0.10501599723,0.968171541614,0.985325093137,0.95692288114,0.970904266187
8,2000,10,0.75,0.0739388751136,0.971138900664,0.985846982843,0.961822346653,0.973686430963
8,2000,20,0.5,0.200942435529,0.857743394094,0.967060124909,0.755472130313,0.790218873129
8,2000,20,0.75,0.0717084750669,0.972622580189,0.986897784973,0.963476711631,0.975045443573
